"comment_id"	"art_idi"	"comment_text"	"comment_time"	"status"	"user_id"
"6"	"15"	"IOW5tOWQjuaAlSAgICAgICAgICAgDQogICAgICAgICAg"	"08-06 05:40:00"	"1"	"1"
"7"	"15"	"IOS9oOi/mCAgICAgICAgICAgDQogICAgICAgICAg"	"08-06 05:44:47"	"1"	"2"
"8"	"0"	""	"08-06 05:47:10"	"1"	"2"
"9"	"15"	"ZGQ="	"08-06 05:47:10"	"1"	"2"
"10"	"15"	"ICBzc3MgICAgICAgICAgCiAgICAgICAgICA="	"08-06 06:53:15"	"1"	"1"
"11"	"15"	"IHNzcyAgICAgICAgICAgCiAgICAgICAgICA="	"08-06 06:53:54"	"1"	"2"
"12"	"15"	"IHNzcyAgICAgICAgICAgCiAgICAgICAgICA="	"08-06 06:54:32"	"1"	"1"
"13"	"14"	"ICAgICAgc2RkICAgICAgCiAgICAgICAgICA="	"08-06 06:58:54"	"1"	"2"
"14"	"1"	"ICAgIGRkICAgICAgICAKICAgICAgICAgIA=="	"08-06 06:59:15"	"1"	"1"
"15"	"13"	"c3NzICAgICAgICAgICAgCiAgICAgICAgICA="	"08-06 07:39:57"	"1"	"2"
"16"	"13"	"ICBzcyAgICAgICAgICAKICAgICAgICAgIA=="	"08-06 07:39:59"	"1"	"2"
"17"	"13"	"ICAgICAgICAgICAgCiAgICAgICAgICBzcw=="	"08-06 08:28:41"	"1"	"2"
"18"	"13"	"ICB6eiAgICAgICAgICAKICAgICAgICAgIA=="	"08-06 11:09:35"	"1"	"1"
"19"	"13"	"IHp6ICAgICAgICAgICAKICAgICAgICAgIA=="	"08-06 11:09:42"	"1"	"1"
"20"	"13"	"c3NzICAgICAgICAgICAgCiAgICAgICAgICA="	"08-06 11:12:16"	"1"	"1"
"21"	"13"	"ICB6eiAgICAgICAgICAKICAgICAgICAgIA=="	"08-06 11:12:20"	"1"	"1"
"22"	"13"	"IHNzICAgICAgICAgICAKICAgICAgICAgIA=="	"08-06 11:12:52"	"1"	"1"
"23"	"13"	"IHp6ICAgICAgICAgICAKICAgICAgICAgIA=="	"08-06 11:12:55"	"1"	"1"
"24"	"13"	"ICB4eCAgICAgICAgICAKICAgICAgICAgIA=="	"08-06 11:14:13"	"1"	"1"
"25"	"13"	"eHggICAgICAgICAgICAKICAgICAgICAgIA=="	"08-06 11:14:16"	"1"	"1"
"26"	"13"	"IGVlICAgICAgICAgICAKICAgICAgICAgIA=="	"08-06 11:14:22"	"1"	"1"
"27"	"12"	"IGFhYSAgICAgICAgICAgCiAgICAgICAgICA="	"08-06 11:42:58"	"1"	"1"
"37"	"5"	"ICAgICAgICAgICAgCiAgICAgICAgICBxcXE="	"08-11 04:36:31"	"1"	"1"
"28"	"14"	"ICAgICAgICAgICAgCiAgICAgICAgICBxcQ=="	"08-07 02:43:50"	"1"	"1"
"29"	"5"	"IHd3ICAgICAgICAgICAKICAgICAgICAgIA=="	"08-07 08:13:39"	"1"	"1"
"30"	"13"	"ICAgICAgICAgICAgCiAgICAgICAgd3Fld3FxcXcgIA=="	"08-10 04:45:13"	"1"	"2"
"31"	"13"	"ICAgICAgICAgICAgCiAgICAgICAgICB3ZXFxcXFxcXFxcXFxcXFxcXFxcQ=="	"08-10 04:45:17"	"1"	"2"
"32"	"13"	"ICAgICAgICAgICAgCiAgICAgICAgICB3cWRkZGRkZGRkZGRkZGRk"	"08-10 04:45:30"	"1"	"2"
"33"	"13"	"ICAgICAgICAgICAgCiAgICAgICAgICA="	"08-10 04:46:02"	"1"	"2"
"34"	"13"	"ICAgICAgICAgICAgCiAgICAgICAgICA="	"08-10 04:46:08"	"1"	"2"
"35"	"13"	"IHNzcyAgICAgICAgICAgCiAgICAgICAgICA="	"08-10 10:28:07"	"1"	"2"
"36"	"10"	"c3NzICAgICAgICAgICAgCiAgICAgICAgICA="	"08-10 10:29:51"	"1"	"2"
"38"	"5"	"ICAgICAgICAgICAgCiAgICAgICAgICB3d3c="	"08-11 04:36:35"	"1"	"2"
"39"	"15"	"ZWUgICAgICAgICAgICAKICAgICAgICAgIA=="	"08-14 02:13:37"	"1"	"1"
"40"	"15"	"IHNzcyAgICAgICAgICAgCiAgICAgICAgICA="	"08-16 10:14:18"	"1"	"1"
"41"	"15"	"c3MgICAgICAgICAgICAKICAgICAgICAgIA=="	"08-16 10:14:24"	"1"	"2"
"42"	"14"	"IGJkICAgICAgICAgICAKICAgICAgICAgIA=="	"08-16 10:25:35"	"1"	"1"
"43"	"14"	"IGRkICAgICAgICAgICAKICAgICAgICAgIA=="	"08-16 10:27:14"	"1"	"1"
"44"	"11"	"d3d3ICAgICAgICAgICAgCiAgICAgICAgICA="	"08-16 10:43:22"	"1"	"1"
"45"	"11"	"IHd3ICAgICAgICAgICAKICAgICAgICAgIA=="	"08-16 10:43:30"	"1"	"1"
"46"	"15"	"d3d3ICAgICAgICAgICAgCiAgICAgICAgICA="	"08-16 10:59:30"	"1"	"2"
"47"	"15"	"IHd3dyAgICAgICAgICAgCiAgICAgICAgICA="	"08-16 10:59:37"	"1"	"1"
"48"	"15"	"ZWUgICAgICAgICAgICAKICAgICAgICAgIA=="	"08-16 11:22:06"	"1"	"1"
"49"	"15"	"d3cgICAgICAgICAgICAKICAgICAgICAgIA=="	"08-16 11:22:39"	"1"	"2"
"50"	"13"	"cXEgICAgICAgICAgIAogICAgICAgICAg"	"08-16 11:37:07"	"1"	"1"
"51"	"15"	"ICAgICAgICAgICAgCiAgICAgICAgICA="	"08-16 11:45:30"	"1"	"0"
"52"	"15"	"ICAgICAgICAgICAgCiAgICAgICAgICA="	"08-16 11:45:32"	"1"	"0"
"53"	"15"	"ICAgICAgICAgICAgCiAgICAgICAgICA="	"08-16 11:45:34"	"1"	"0"
"54"	"15"	"ICAgICAgICAgICAgCiAgICAgICAgICA="	"08-16 11:45:38"	"1"	"0"
"55"	"15"	"ICAgICAgICAgICAgCiAgICAgICAgICA="	"08-16 11:45:40"	"1"	"0"
"56"	"14"	"ICAgICAgICAgICAgCiAgICAgICAgICA="	"08-16 11:46:03"	"1"	"0"
"57"	"14"	"ICAgICAgICAgICAgCiAgICAgICAgICA="	"08-16 11:46:04"	"1"	"0"
"58"	"14"	"ICAgICAgICAgICAgCiAgICAgICAgICA="	"08-16 11:46:28"	"1"	"0"
"59"	"14"	"ICAgICAgICAgICAgCiAgICAgICAgICA="	"08-16 11:46:30"	"1"	"0"
"60"	"14"	"ICAgICAgICAgICAgCiAgICAgICAgICA="	"08-16 11:46:31"	"1"	"0"
"61"	"14"	"ICAgICAgICAgICAgCiAgICAgICAgICA="	"08-16 11:46:42"	"1"	"0"
"62"	"14"	"ICAgICAgICAgICAgCiAgICAgICAgICA="	"08-16 11:46:59"	"1"	"0"
"63"	"14"	"ICAgICAgICAgICAgCiAgICAgICAgICA="	"08-16 11:47:01"	"1"	"0"
"64"	"14"	"IHNzICAgICAgICAgICAKICAgICAgICAgIA=="	"08-16 11:49:49"	"1"	"1"
"65"	"14"	"ZWVlICAgICAgICAgICAgCiAgICAgICAgICA="	"08-16 11:50:08"	"1"	"2"
"66"	"14"	"IGZmICAgICAgICAgICAKICAgICAgICAgIA=="	"08-16 11:50:11"	"1"	"2"
"67"	"9"	"ICDkvaDlpb0gICAgICAgICAgCiAgICAgICAgICA="	"08-17 11:23:22"	"1"	"1"
"68"	"15"	"IGRkICAgICAgICAgICAKICAgICAgICAgIA=="	"08-17 03:08:16"	"1"	"1"
"69"	"15"	"IHd3dyAgICAgICAgICAgCiAgICAgICAgICA="	"08-17 03:08:24"	"1"	"1"
