"reply_id"	"comm_id"	"reply_text"	"reply_time"	"user_id"
"6"	"17"	"ICAgc3NzICAgICAgICAgICAgICAgCiAgICAgICAgICAgICAgICA="	"08-06 10:39:15"	"1"
"7"	"11"	"ICAgICAgICAgICAgICAgICAgCiAgICAgICAgICAgICAgICA="	"08-06 10:39:28"	"1"
"8"	"26"	"IGRkZCAgICAgICAgICAgICAgICAgCiAgICAgICAgICAgICAgICA="	"08-06 11:31:47"	"1"
"9"	"25"	"ICA="	"08-06 11:31:52"	"1"
"10"	"24"	"ICAgICAgICAgICAgICAgICAgCiAgICAgICAgICAgICAgICA="	"08-06 11:31:54"	"1"
"11"	"22"	"ICAgICAgICAgICAgICAgICAgCiAgICAgICAgICAgICAgICA="	"08-06 11:32:45"	"1"
"12"	"26"	"IHR0dHR0ICAgIA=="	"08-06 11:35:11"	"1"
"13"	"25"	"ICAgICAgICAgICAgICAgICAgCiAgICAgICAgICAgICAgICA="	"08-06 11:35:30"	"1"
"14"	"26"	"ZGRkICAgICAgICAgICAgICAgICAgCiAgICAgICAgICAgICAgICA="	"08-06 11:36:09"	"1"
"15"	"26"	"ZGRkICAgICAgICAgICAgICAgICAgCiAgICAgICAgICAgICAgICA="	"08-06 11:36:09"	"1"
"16"	"25"	"ICAgICAgICAgICAgICAgICAgCiAgICAgICAgICAgICAgICA="	"08-06 11:36:21"	"2"
"17"	"26"	"c3NzICAgICAgICAgICAgICAgICAgCiAgICAgICAgICAgICAgICA="	"08-06 11:39:25"	"1"
"18"	"25"	"IHNzcyAgICAgICAgICAgICAgICAgCiAgICAgICAgICAgICAgICA="	"08-06 11:39:27"	"1"
"19"	"24"	"IHFxcSAgICAgICAgICAgICAgICAgCiAgICAgICAgICAgICAgICA="	"08-06 11:39:30"	"1"
"20"	"23"	"ICBlZWUgICAgICAgICAgICAgICAgCiAgICAgICAgICAgICAgICA="	"08-06 11:39:33"	"1"
"21"	"23"	"ICBlZWUgICAgICAgICAgICAgICAgCiAgICAgICAgICAgICAgICA="	"08-06 11:39:33"	"1"
"22"	"27"	"YWFhICAgICAgICAgICAgICAgICAgCiAgICAgICAgICAgICAgICAy"	"08-06 11:43:35"	"1"
"23"	"27"	"IHR0ICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-06 11:56:21"	"1"
"24"	"27"	"IHR0ICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-06 11:56:24"	"1"
"25"	"11"	"NDQgICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-07 09:36:28"	"1"
"26"	"11"	"IDQ0ICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-07 09:36:32"	"1"
"27"	"7"	"ICAgICAgICAgICAgICAgICAgCiA1NSAgICAgICAgICAgICAgIA=="	"08-07 10:43:17"	"1"
"28"	"12"	"IHl5ICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-07 11:22:03"	"1"
"29"	"10"	"c3MgICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-07 11:31:08"	"1"
"30"	"13"	"IGVlICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-07 02:43:44"	"1"
"31"	"13"	"IGVlICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-07 02:43:48"	"1"
"32"	"13"	"ICAgICAgICAgICAgICAgICAgCiAgICAgICAgICAgICAgICA="	"08-07 03:06:44"	"1"
